date,store,item,qnty,group
2019-01-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-02-28,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-03-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-04-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-05-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-06-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-07-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-08-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-09-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-10-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-11-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2019-12-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-01-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-02-29,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-03-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-04-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-05-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-06-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-07-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-08-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-09-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-10-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-11-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2020-12-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-01-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-02-28,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-03-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-04-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-05-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-06-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-07-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-08-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-09-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-10-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-11-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2021-12-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-01-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-02-28,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-03-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,950.76,Гвоздь
2022-04-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-05-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-06-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,760.608,Гвоздь
2022-07-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-08-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-09-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-10-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-11-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2022-12-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-01-31,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,6084.864,Гвоздь
2015-02-28,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2319.854,Гвоздь
2015-03-31,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,3061.447,Гвоздь
2015-04-30,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1521.216,Гвоздь
2015-05-31,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2338.87,Гвоздь
2015-06-30,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,3498.797,Гвоздь
2015-07-31,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2357.885,Гвоздь
2015-08-31,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2776.219,Гвоздь
2015-09-30,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,4848.876,Гвоздь
2015-10-31,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,5495.393,Гвоздь
2015-11-30,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,6275.016,Гвоздь
2015-12-31,c82d952d-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,6465.168,Гвоздь
